Character 	Background (From Wikia)	Picture (From wiki)	Episode died	Wikia link	Affiliation
Arya Stark	"Arya is the younger daughter of Lord Eddard Stark and his wife Lady Catelyn Stark. She is headstrong, fiercely independent, disdains traditional women's pursuits, and thus is often mistaken for a boy. She wields a sword named Needle, a gift from her half-brother, Jon Snow, and was trained in the Braavosi style of swordfighting while living in King's Landing. She adopted the direwolf Nymeria, but they have since been separated after Nymeria attacked Joffrey, forcing Arya to send her away in order to prevent her execution.  When her father is betrayed and executed by Joffrey, Arya flees the capital with the help of the Night's Watch recruiter, Yoren, who gets her out of the city disguised as an orphan boy ""Arry"" and tries to take her home. However, she is taken prisoner by Ser Gregor Clegane's men and taken to Harrenhal, where she briefly serves as cupbearer to an unsuspecting Tywin Lannister. After escaping, she begins making her way towards Riverrun and is captured by the Brotherhood Without Banners and subsequently by Sandor Clegane. They travel across Westeros as he unsuccessfully attempts to ransom her to various family members. In Clegane's company, Arya becomes increasingly hardened and brutalized, and personally kills a number of men. She compiles a list of people she intends to kill. After Clegane is gravely injured in a fight, she abandons him. Long since given up for dead by many in Westeros, Arya is now in Braavos, training with the Faceless Men."	http://img2.wikia.nocookie.net/__cb20150617002711/gameofthrones/images/thumb/7/72/Arya-Mercy.jpg/250px-Arya-Mercy.jpg		http://gameofthrones.wikia.com/wiki/Arya_Stark	Stark
Bran Stark	"Bran Stark is a noble boy living with his family in Winterfell. He lost the use of his legs after being pushed out of a tower window by Jamie Lannister after discovering his incestuous relationship with Cersei Lannister. He relies on the servant Hodor to aid his mobility. He has had prophetic dreams.  Bran adopted the direwolf Summer and they have forged a strong connection. He is able to see through the direwolf's eyes while he sleeps, as Bran is a Warg: a person who possesses the magical ability to enter the minds of animals and people. Bran is also blessed with the magical power of greensight, which gives him prophetic visions in his dreams."	http://img1.wikia.nocookie.net/__cb20140428204046/gameofthrones/images/thumb/9/97/Bran_Stark_in_Oathkeeper.png/250px-Bran_Stark_in_Oathkeeper.png		http://gameofthrones.wikia.com/wiki/Bran_Stark	Stark
Catelyn Stark	"Catelyn is from House Tully and married into House Stark. She is a devoted mother and is fiercely protective of her children. Her husband, Eddard Stark, is the Lord paramount of the North. He becomes Hand of the King to Robert Baratheon and travels south to the capital. Following an assassination attempt on her son Bran, she follows Eddard to warn him that House Lannister were involved. On her return journey she chances upon Tyrion Lannister and takes him into custody. This incites further conflict between the houses and Eddard is arrested for treason when Cersei Lannister becomes queen regent following the unexpected death of Robert. Catelyn is forced to release Tyrion when he proves his innocence in a trial by combat. She joins her son, Robb Stark, who has gathered the Stark banners to fight for Eddard's freedom. Eddard is executed on the order of King Joffrey Baratheon and Catelyn promises Robb that they will avenge him. While at the wedding of her brother to Roslin Frey, Catelyn is killed along with her son, his wife, and most of the Stark bannermen."	http://img2.wikia.nocookie.net/__cb20140515200719/gameofthrones/images/thumb/f/fb/Catelyn-Stark-Profile-HD.png/250px-Catelyn-Stark-Profile-HD.png	29	http://gameofthrones.wikia.com/wiki/Catelyn_Stark	Stark
Eddard Stark	"Eddard was the head of House Stark, the Lord of Winterfell, Lord Paramount and Warden of the North. He was the father of Robb, Sansa, Arya, Bran and Rickon by his wife, Catelyn Tully, and to Jon Snow, his bastard son. He was a good father and husband, a loyal friend and an honorable lord. When Eddard's sister was abducted by Prince Rhaegar Targaryen and his father and older brother were executed by the Mad King, Eddard called the banners of the North in rebellion, assisted by his friend Robert Baratheon and mentor Jon Arryn. After Rhaegar's forces were defeated at the Trident and King's Landing was sacked, Robert became king and Eddard returned to Winterfell. After the death of Jon Arryn, who had served as Hand of the King, Robert offered Eddard the position. In King's Landing, Eddard discovered that Jon Arryn had been murdered because he had discovered that Robert's children by Cersei Lannister were actually born of her incest with her twin brother. After King Robert's death during a hunt, Eddard tried to arrest Cersei and her children and place Robert's younger brother, Stannis Baratheon, on the throne as the lawful heir. However, Eddard was instead arrest for treason. Robb raised the banners of the North to free him. In order to prevent the upcoming war and secure his daughters' safety, Eddard confessed to treason, but Joffrey ordered him to be executed.  Eddard's death led to the breakout of war between House Stark and House Lannister."	http://img2.wikia.nocookie.net/__cb20110626030942/gameofthrones/images/thumb/9/9c/EddardStark.jpg/250px-EddardStark.jpg	9	http://gameofthrones.wikia.com/wiki/Eddard_Stark	Stark
Hodor	"Hodor is a simpleminded servant of House Stark at Winterfell working in the stables. He aids Bran Stark's mobility after he sustains a paralyzing injury when falling from a tower by carrying him from place to place, in his arms, in a basket on his back, and in a wheelbarrow. After Winterfell is captured by Theon Greyjoy, Hodor escapes with Osha, Bran, and Rickon leaving a trail, then back tracking to hide in the Stark crypts. When emerging to find Winterfell burned, he leaves with Osha to take Bran and Rickon north to the Wall to Jon Snow."	http://img3.wikia.nocookie.net/__cb20120701222237/gameofthrones/images/thumb/c/c1/Hodor_infobox.jpg/250px-Hodor_infobox.jpg		http://gameofthrones.wikia.com/wiki/Hodor	Stark
Jojen Reed	Jojen is the younger brother of Meera Reed and is the eldest son and heir of Lord Howland Reed of Greywater Watch.	http://img2.wikia.nocookie.net/__cb20140618061450/gameofthrones/images/thumb/2/23/Jojen-Reed-Profile.jpg/250px-Jojen-Reed-Profile.jpg	40	http://gameofthrones.wikia.com/wiki/Jojen_Reed	Stark
Maester Luwin	Luwin is the Maester of Winterfell and a loyal servant to House Stark. He is a surrogate parent to Bran Stark and Rickon Stark in the absence of their family.	http://img2.wikia.nocookie.net/__cb20120701225048/gameofthrones/images/b/b2/Luwin_infobox.jpg	20	http://gameofthrones.wikia.com/wiki/Luwin	Stark
Meera Reed	Meera is the eldest child and only daughter of Lord Howland Reed of Greywater Watch. Her sole sibling is her younger brother Jojen Reed.	http://img2.wikia.nocookie.net/__cb20140618075345/gameofthrones/images/thumb/6/62/Meera-Reed-Profile_2-HD.png/250px-Meera-Reed-Profile_2-HD.png		http://gameofthrones.wikia.com/wiki/Meera_Reed	Stark
Rickon Stark	"Rickon is the youngest son of Eddard Stark and Catelyn Stark and lives with his family in Winterfell until the Fall of Winterfell. Rickon adopted the direwolf Shaggydog and they have forged a strong connection. He traveled to find safety at Last Hearth with the wildling Osha after being separated from Hodor, Meera and Jojen Reed, and his brother Bran. And he disappeared after that."	http://img2.wikia.nocookie.net/__cb20150314034405/gameofthrones/images/thumb/c/c9/Rickon_Stark_Season_3.jpg/250px-Rickon_Stark_Season_3.jpg		http://gameofthrones.wikia.com/wiki/Rickon_Stark	Stark
Robb Stark	"Robb is the eldest son of Lord Eddard Stark of Winterfell and his wife Lady Catelyn, brother of Sansa, Arya, Bran and Rickon Stark, and half-brother of Jon Snow. He adopts a direwolf named Grey Wind.  When Eddard is arrested and subsequently executed by King Joffrey, Robb is declared King in the North, and leads a rebellion against the Iron Throne. In the resulting conflict, he proves himself an adept battle commander, securing several notable victories over Lannister forces and capturing Jaime Lannister. However, he is a naive and inexperienced politician, putting honorable conduct over practical concerns, and makes a number of crucial blunders. He breaks an oath to marry a daughter of his ally Walder Frey, choosing instead to marry Talisa Maegyr, and he entrusts Theon Greyjoy to negotiate an alliance with the ironborn, but Theon betrays him and seizes Winterfell. Robb then alienates the Karstarks, who make up nearly half of his remaining army, when he executes their leader Rickard Karstark, after Rickard kills two young Lannister boys.  With the war turning against him, Robb is forced to turn to the Freys again. He seemingly wins back their support by agreeing for his uncle Edmure Tully to marry Roslin Frey. Unbeknownst to Robb, it is a trap, as the Freys and Stark bannerman Roose Bolton are now in league with Tywin Lannister. At the wedding feast, despite invoking guest right, the Freys turn on the Starks, and Robb, Catelyn, Talisa and most of his army are massacred in what becomes known as the Red Wedding. Robb himself is personally killed by Roose Bolton. This effectively ends the northern rebellion, and the Starks are stripped of their ancestral seat in the North."	http://img3.wikia.nocookie.net/__cb20140421133432/gameofthrones/images/thumb/7/77/RobbStark3x09HD.png/250px-RobbStark3x09HD.png	29	http://gameofthrones.wikia.com/wiki/Robb_Stark	Stark
