"Character
",Picture (From wiki),type
Eddard Stark,http://img2.wikia.nocookie.net/__cb20110626030942/gameofthrones/images/thumb/9/9c/EddardStark.jpg/250px-EddardStark.jpg,jpg
Robb Stark,http://img3.wikia.nocookie.net/__cb20140421133432/gameofthrones/images/thumb/7/77/RobbStark3x09HD.png/250px-RobbStark3x09HD.png,png
Sansa Stark,http://img3.wikia.nocookie.net/__cb20150518204704/gameofthrones/images/thumb/5/59/Sansa-S05E06.jpg/250px-Sansa-S05E06.jpg,jpg
Arya Stark,http://img2.wikia.nocookie.net/__cb20150617002711/gameofthrones/images/thumb/7/72/Arya-Mercy.jpg/250px-Arya-Mercy.jpg,jpg
Bran Stark,http://img1.wikia.nocookie.net/__cb20140428204046/gameofthrones/images/thumb/9/97/Bran_Stark_in_Oathkeeper.png/250px-Bran_Stark_in_Oathkeeper.png,png
Rickon Stark,http://img2.wikia.nocookie.net/__cb20150314034405/gameofthrones/images/thumb/c/c9/Rickon_Stark_Season_3.jpg/250px-Rickon_Stark_Season_3.jpg,jpg
Maester Luwin,http://img2.wikia.nocookie.net/__cb20120701225048/gameofthrones/images/b/b2/Luwin_infobox.jpg,jpg
Jeor Mormont,http://img4.wikia.nocookie.net/__cb20140515205439/gameofthrones/images/thumb/6/65/Jeor-Mormont-Profile-HD.png/250px-Jeor-Mormont-Profile-HD.png,png
Ser Alliser Thorne,http://img3.wikia.nocookie.net/__cb20150527132944/gameofthrones/images/thumb/7/75/Alliserthorne-s5e7.jpg/250px-Alliserthorne-s5e7.jpg,jpg
Maester Aemon,http://img1.wikia.nocookie.net/__cb20150511170352/gameofthrones/images/thumb/3/32/Aemonepisode5.png/250px-Aemonepisode5.png,png
Samwell Tarly,http://img2.wikia.nocookie.net/__cb20140519172406/gameofthrones/images/thumb/1/1c/Samwell_Tarly_in_Mockingbird.png/250px-Samwell_Tarly_in_Mockingbird.png,png
Viserys Targaryen,http://img2.wikia.nocookie.net/__cb20121214155927/gameofthrones/images/thumb/4/46/Viseryspromoheadshot.jpg/250px-Viseryspromoheadshot.jpg,jpg
Khal Drogo,http://img1.wikia.nocookie.net/__cb20110626031733/gameofthrones/images/thumb/1/1f/Drogo_1x01b.jpg/250px-Drogo_1x01b.jpg,jpg
Jorah Mormont,http://img3.wikia.nocookie.net/__cb20150605193636/gameofthrones/images/thumb/4/46/Jorah-hd-still-S5E8.jpg/250px-Jorah-hd-still-S5E8.jpg,jpg
Robert Baratheon,http://img2.wikia.nocookie.net/__cb20141119000127/gameofthrones/images/thumb/d/d4/RobertBaratheon.jpg/250px-RobertBaratheon.jpg,jpg
Barristan Selmy,http://img1.wikia.nocookie.net/__cb20150504180820/gameofthrones/images/thumb/1/1f/Barristan_Selmy_Sons_of_the_Harpy.jpg/250px-Barristan_Selmy_Sons_of_the_Harpy.jpg,jpg
Grand Maester Pycelle,http://img1.wikia.nocookie.net/__cb20150313210334/gameofthrones/images/thumb/e/e9/Pycelle_%28S04E06%29.jpg/250px-Pycelle_%28S04E06%29.jpg,jpg
Tywin Lannister,http://img2.wikia.nocookie.net/__cb20140326175142/gameofthrones/images/thumb/e/ed/Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg/250px-Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg,jpg
Renly Baratheon,http://img1.wikia.nocookie.net/__cb20130116113034/gameofthrones/images/thumb/3/3d/Renly_profile.jpg/250px-Renly_profile.jpg,jpg
Bronn,http://img2.wikia.nocookie.net/__cb20150422210515/gameofthrones/images/thumb/a/ab/Bronn_of_the_Blackwater_S5.jpg/250px-Bronn_of_the_Blackwater_S5.jpg,jpg
Sandor Clegane,http://img3.wikia.nocookie.net/__cb20150607060449/gameofthrones/images/thumb/9/91/Sandor_%28The_Children%29.PNG/250px-Sandor_%28The_Children%29.PNG,png
Joffrey Baratheon,http://img3.wikia.nocookie.net/__cb20140514092040/gameofthrones/images/thumb/4/4c/Joffrey-Baratheon-Profile-HD.png/250px-Joffrey-Baratheon-Profile-HD.png,png
Tommen Baratheon,http://img2.wikia.nocookie.net/__cb20150504161509/gameofthrones/images/thumb/9/94/Tommen_sons_of_the_harpy.jpg/250px-Tommen_sons_of_the_harpy.jpg,jpg
Gendry,http://img3.wikia.nocookie.net/__cb20140406203314/gameofthrones/images/thumb/4/4f/Larges3-ep1-people-profilepic-gendry-800x800.jpg/250px-Larges3-ep1-people-profilepic-gendry-800x800.jpg,jpg
Hodor,http://img3.wikia.nocookie.net/__cb20120701222237/gameofthrones/images/thumb/c/c1/Hodor_infobox.jpg/250px-Hodor_infobox.jpg,jpg
Balon Greyjoy,http://img2.wikia.nocookie.net/__cb20140606162907/gameofthrones/images/thumb/a/a5/Balon.png/250px-Balon.png,png
Janos Slynt,http://img2.wikia.nocookie.net/__cb20140512174106/gameofthrones/images/thumb/b/b7/Janos-HD.png/250px-Janos-HD.png,png
Gregor Clegane,http://img1.wikia.nocookie.net/__cb20140707234843/gameofthrones/images/thumb/b/be/Gregor_Clegane_4x07.jpg/250px-Gregor_Clegane_4x07.jpg,jpg
Petyr Baelish,http://img1.wikia.nocookie.net/__cb20150219051259/gameofthrones/images/thumb/8/87/Littlefinger_S5.jpg/250px-Littlefinger_S5.jpg,jpg
Loras Tyrell,http://img2.wikia.nocookie.net/__cb20150519170126/gameofthrones/images/a/a7/LorasHD3x06-0.png,png
Margaery Tyrell,http://img4.wikia.nocookie.net/__cb20150416014255/gameofthrones/images/thumb/6/6e/MargS5.png/250px-MargS5.png,png
Brienne Tarth,http://img1.wikia.nocookie.net/__cb20150515051937/gameofthrones/images/thumb/4/40/Brienne_S05E05.jpg/250px-Brienne_S05E05.jpg,jpg
Podrick Payne,http://img1.wikia.nocookie.net/__cb20140618215825/gameofthrones/images/thumb/6/6c/Podrick-Payne-Profile-HD.png/250px-Podrick-Payne-Profile-HD.png,png
Qyburn,http://img3.wikia.nocookie.net/__cb20150420170635/gameofthrones/images/thumb/0/00/Qyburn-S5.png/250px-Qyburn-S5.png,png
Talisa Maegyr,http://img2.wikia.nocookie.net/__cb20150515053353/gameofthrones/images/thumb/c/ca/Talisa3x9.jpg/250px-Talisa3x9.jpg,jpg
Brynden Tully,http://img2.wikia.nocookie.net/__cb20150608235840/gameofthrones/images/thumb/b/b6/3x03_Brynden.png/250px-3x03_Brynden.png,png
Roose Bolton,http://img1.wikia.nocookie.net/__cb20150131122254/gameofthrones/images/thumb/6/62/Roose_Bolton_Season5.png/250px-Roose_Bolton_Season5.png,png
Ramsay Bolton,http://img4.wikia.nocookie.net/__cb20150617120152/gameofthrones/images/thumb/5/51/Ramsay_Bolton-S05E10.png/250px-Ramsay_Bolton-S05E10.png,png
Locke,http://img2.wikia.nocookie.net/__cb20140514090407/gameofthrones/images/thumb/1/1c/Locke-Profile-HD.png/250px-Locke-Profile-HD.png,png
